model number,number of steady states,number of runs that converged,AMPK,mTOR,SNAIL ,ZEB,miR200,miR34
157,3,60,4.295294,2.256621,-1.482679,1.529955,-0.420235,5.972263
157,3,20,0.139359,6.540466,1.612016,11.703541,-7.65644,3.349905
157,3,20,4.295294,2.256621,-1.482679,-9.457676,6.080727,5.972263
158,3,51,6.959351,-3.976814,-3.295093,-21.481466,6.461833,6.353767
158,3,32,4.017588,4.485421,0.957657,-2.831506,3.865774,2.405466
158,3,17,4.017588,4.485421,0.957657,4.650199,-0.641193,2.405466
159,3,73,2.633161,-0.818805,-7.308524,-15.161921,3.439151,6.25953
159,3,20,2.039838,5.553728,1.099694,-1.818909,-2.983088,3.294989
159,3,7,2.039838,5.553728,1.099694,4.283196,-6.607361,3.294989
160,1,100,3.611098,-0.908756,-4.578179,-25.624858,7.737963,6.653943
161,1,100,3.460188,-4.383056,-6.750189,-15.324465,8.391784,7.305915
162,1,100,-0.508248,6.800257,2.28242,8.737427,-11.012135,-0.25264
163,2,75,-2.516863,5.794873,1.328261,9.58834,-11.508864,3.222146
163,2,25,3.418037,-1.51716,-11.039799,-15.849305,4.230406,7.645451
164,1,100,2.968886,-1.700621,-0.987005,-8.524323,5.592607,5.223202
165,1,100,4.318249,-3.91843,-7.696565,-17.85851,7.078163,8.05531
166,1,100,3.312235,-2.300003,-9.832014,-13.695963,5.651337,6.572968
167,2,63,-1.11781,9.018606,1.379014,4.832764,-8.116722,0.41294
167,2,37,3.385251,-1.468683,-5.547574,-17.960513,4.92334,6.382981
168,2,49,4.502831,-3.648932,-6.117498,-23.15685,8.459413,6.461897
168,2,51,0.404921,6.495229,0.98672,8.575355,-6.513822,2.229213
169,1,100,-2.279676,6.10598,2.844341,10.785442,-8.706158,2.580756
170,1,100,2.895144,-2.585177,-7.535865,-16.204553,4.480682,7.196088
171,2,90,-0.067551,6.863951,6.133719,-3.728075,-0.041662,0.017281
171,2,10,-0.067551,6.863951,6.133719,2.983928,-2.640086,0.017281
172,2,63,0.854604,7.552424,0.439444,10.686555,-4.526683,3.270341
172,2,37,4.447267,-1.035603,-6.952991,-7.813206,5.939441,6.324056
173,1,100,3.653958,-1.95896,-6.269455,-17.106032,6.942761,4.905134
174,1,100,3.360202,2.142885,-1.699666,8.265511,0.376588,4.036773
175,1,100,2.03369,4.987326,2.165337,8.982137,-4.254535,2.902373
176,1,100,2.126114,5.795657,0.806484,8.166766,-3.544264,1.443918
177,1,100,4.463822,-2.676003,-1.867051,-16.0637,8.646746,3.490038
178,2,85,5.069715,-4.4669,-9.698733,-16.492384,7.476328,6.375399
178,2,15,2.571971,5.620449,0.553007,8.446891,-3.164385,3.707839
179,1,100,0.57701,7.417247,1.350471,10.010829,-8.407208,-0.096935
180,2,58,-2.800386,6.711529,3.159096,9.804814,-15.03272,0.102097
180,2,42,1.835093,1.104262,-8.112374,-10.467091,-0.982626,5.628967
181,1,100,0.750704,7.177106,0.835207,8.527733,-4.323463,3.079887
182,2,49,4.583915,-2.790672,-5.790463,-25.340106,8.861818,6.514626
182,2,51,-0.014795,4.269007,3.800742,6.473897,-6.652884,3.406287
183,3,10,3.226303,8.089219,1.523865,5.131609,0.612228,1.999613
183,3,32,4.282028,1.241955,-3.555832,-17.392295,9.165706,7.135546
183,3,58,3.226303,8.089219,1.523865,0.334629,4.940686,1.999613
184,1,100,4.474471,-6.016108,-7.348158,-23.649487,4.651644,7.800107
185,2,66,3.18701,4.572018,1.310363,-4.720698,2.841805,3.353575
185,2,34,3.18701,4.572018,1.310363,6.121669,-3.38905,3.353575
186,1,100,-1.3586,7.653548,1.538897,10.484712,-4.966861,-3.508151
187,2,71,-0.409247,8.140291,1.581731,8.680475,-5.25925,0.562145
187,2,29,3.511583,-1.870605,-3.944316,-16.719082,5.784929,5.314495
188,3,48,0.767631,6.88672,1.883027,8.236023,-3.456646,3.507208
188,3,49,4.002846,-1.932174,-6.392619,-22.53982,6.019964,8.864607
188,3,3,3.954744,2.772929,0.65617,-9.97036,4.922163,4.25033
